,Rainfall_mm,Soil_Moisture_pct,Yield_Tonnes_Ha,Production_Tonnes,Water_Used_m3,Water_Efficiency_t_per_1000m3,Disease_Pest_Risk_pct,Profit_INR
Rainfall_mm,1.0,0.5089405366115273,0.03095099355165076,0.024447402275640337,0.0022403692958823094,0.05810175696027579,0.6217618552755415,0.10764752863101715
Soil_Moisture_pct,0.5089405366115273,1.0,0.010999346063015867,0.004786789382135015,0.0031832237147955025,0.027776318959833977,0.37554718114070745,0.09128109486827561
Yield_Tonnes_Ha,0.03095099355165076,0.010999346063015867,1.0,0.8828128675727284,0.3862938118886723,0.9125675009144051,0.014291575329120737,0.4884660989684228
Production_Tonnes,0.024447402275640337,0.004786789382135015,0.8828128675727284,1.0,0.5155568672701036,0.8121425496724581,0.013961402025666942,0.5541717534615423
Water_Used_m3,0.0022403692958823094,0.0031832237147955025,0.3862938118886723,0.5155568672701036,1.0,0.21708057249489915,0.01148471151886594,0.19027756179048408
Water_Efficiency_t_per_1000m3,0.05810175696027579,0.027776318959833977,0.9125675009144051,0.8121425496724581,0.21708057249489915,1.0,0.029252918501139483,0.4894873007614452
Disease_Pest_Risk_pct,0.6217618552755415,0.37554718114070745,0.014291575329120737,0.013961402025666942,0.01148471151886594,0.029252918501139483,1.0,0.0675831523230642
Profit_INR,0.10764752863101715,0.09128109486827561,0.4884660989684228,0.5541717534615423,0.19027756179048408,0.4894873007614452,0.0675831523230642,1.0
